modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
1	9	1	1	2059/1	07	01	00	00	00	00	00
2	10	2	2	2059/1	07	01	00	00	00	00	00
2	9	0	4	2059/1	07	01	00	00	00	00	00
1	10	3	9	2059/1	07	01	00	00	00	00	00
1	9	1	10	2059/1	07	01	00	00	00	00	00
modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
1	9	0	1	2059/1	07	01	00	00	00	00	00
1	9	3	3	2059/1	07	01	00	00	00	00	00
1	9	2	5	2059/1	07	01	00	00	00	00	00
1	9	1	7	2059/1	07	01	00	00	00	00	00
1	10	3	9	2059/1	07	01	00	00	00	00	00
2	10	0	9	2059/1	07	01	00	00	00	00	00
2	10	2	13	2059/1	07	01	00	00	00	00	00
modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
3	8	2	2	2059/1	07	01	00	00	00	00	00
3	7	0	4	2059/1	07	01	00	00	00	00	00
2	8	3	4	2059/1	07	01	00	00	00	00	00
2	10	0	6	2059/1	07	01	00	00	00	00	00
1	10	3	8	2059/1	07	01	00	00	00	00	00
1	10	1	10	2059/1	07	01	00	00	00	00	00
2	10	2	10	2059/1	07	01	00	00	00	00	00
