modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
5	9	0	1	2068/8	41	00	00	00	00	00	00
6	13	2	2	01080	82	00	00	00	00	00	00
2	15	3	2	2260/1	5a	00	00	00	00	00	00
4	15	2	2	01080	02	00	00	00	00	00	00
6	3	2	2	2064/5	23	00	00	00	00	00	00
5	4	3	2	2059/8	0d	00	00	00	00	00	00
6	4	1	2	2060/6	93	00	00	00	00	00	00
2	5	0	2	2065/2	29	00	00	00	00	00	00
6	5	0	2		7e	00	00	00	00	00	00
7	5	2	2	2060/6	93	00	00	00	00	00	00
6	7	1	2	2067/5	b7	00	00	00	00	00	00
5	8	0	2	2260/9	5e	00	00	00	00	00	00
3	9	3	2	2066/3	30	00	00	00	00	00	00
6	9	3	2	2067/2	35	00	00	00	00	00	00
4	10	1	2	2071/3	54	00	00	00	00	00	00
6	10	0	2	2059/4	8a	00	00	00	00	00	00
2	11	3	2	2066/0	ad	00	00	00	00	00	00
3	12	3	2	2068/3	3d	00	00	00	00	00	00
6	12	0	2	01080	82	00	00	00	00	00	00
3	13	3	2	2067/4	36	00	00	00	00	00	00
6	14	0	2	2069/3	c6	00	00	00	00	00	00
5	16	2	2	2064/5	a3	00	00	00	00	00	00
4	7	3	4	2063/6	1a	00	00	00	00	00	04
3	11	2	4	2066/0	ad	00	00	00	00	00	05
4	11	3	4	2071/3	54	00	00	00	00	00	04
5	11	1	4	2071/7	7b	00	00	00	00	00	05
4	12	1	4	2063/8	1c	00	00	00	00	00	04
5	12	0	4	2063/8	1c	00	00	00	00	00	04
3	13	3	4	2067/4	36	00	00	00	00	00	04
6	14	3	4	2069/3	c6	00	00	00	00	00	04
4	15	2	4	01080	02	00	00	00	00	00	21
5	16	2	4	2064/5	a3	00	00	00	00	00	21
5	3	3	4	2064/5	23	00	00	00	00	00	21
3	4	2	4	2060/0	8f	00	00	00	00	00	21
5	4	2	4	2059/8	0d	00	00	00	00	01	02
5	5	1	4	01083	84	00	00	00	00	00	04
5	6	3	4	01083	84	00	00	00	00	00	04
2	7	1	4	2059/4	0a	00	00	00	00	00	04
3	7	2	4	2059/4	0a	00	00	00	00	00	04
7	7	0	4	2067/5	b7	00	00	00	00	00	05
3	9	3	4	2066/3	30	00	00	00	00	00	04
6	9	3	4	2067/2	35	00	00	00	00	00	05
3	12	2	5	2065/7	2c	00	00	00	00	00	04
2	6	2	6	2065/2	29	00	00	00	00	00	05
2	6	1	6	2066/2	af	00	00	00	00	00	05
5	6	2	6	01083	84	00	00	00	00	00	04
4	7	1	6	2063/6	1a	00	00	00	00	00	04
4	8	1	6	2260/9	5e	00	00	00	00	00	04
2	9	3	6	2068/1	3b	00	00	00	00	00	05
5	9	2	6	2260/9	5e	00	00	00	00	00	04
3	10	0	6	2066/0	ad	00	00	00	00	00	05
3	11	3	6	2067/1	b4	00	00	00	00	00	04
4	11	3	6	2071/3	54	00	00	00	00	00	04
7	11	0	6	2064/0	9e	00	00	00	00	00	04
2	12	3	6	2065/7	2c	00	00	00	00	00	04
3	12	2	6	2065/7	2c	00	00	00	00	00	04
3	13	3	6	2067/4	36	00	00	00	00	00	04
4	13	1	6	2060/7	94	00	00	00	00	00	04
2	14	3	6	2063/5	99	00	00	00	00	00	05
4	14	3	6	2060/7	94	00	00	00	00	00	04
5	14	2	6	2060/7	94	00	00	00	00	00	04
6	14	2	6	2069/3	c6	00	00	00	00	00	04
2	15	3	6	2260/1	5a	00	00	00	00	00	21
3	15	2	6	2260/1	5a	00	00	00	00	00	21
5	15	1	6	01085	05	00	00	00	00	00	21
6	15	0	6	01085	05	00	00	00	00	00	21
5	16	2	6	2064/5	a3	00	00	00	00	00	21
3	3	0	6	2060/0	8f	00	00	00	00	00	21
3	3	3	6	3060/7	e3	00	00	00	00	00	21
4	3	0	6	3060/7	e3	00	00	00	00	00	21
5	4	1	6	2059/8	0d	00	00	00	00	01	02
2	7	1	7	2059/4	0a	00	00	00	00	00	04
6	7	3	7	2067/5	b7	00	00	00	00	00	05
5	10	0	7	2068/8	41	00	00	00	00	00	05
3	11	1	7	2068/3	3d	00	00	00	00	00	05
